Sender;Reciever;# Messages;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent
"Process 2";"Process 4";458324;90.9068;90906791000;0;0;1.74201;1742011000;340.235;3.40235e-07;inf;inf;1687422400;192;4800
"Process 2";"Process 5";458324;87.7539;87753862000;0;0;1.49643;1496435000;340.333;3.40333e-07;inf;inf;1687422400;192;4800
"Process 2";"Process 6";458324;92.0915;92091493000;0;0;2.18991;2189913000;87.6747;8.76747e-08;inf;inf;1687422400;192;4800
"Process 12";"Process 0";458324;157.404;157404401000;1e-06;1000;1.53809;1538092000;178.131;1.78131e-07;2.4e+09;2.4;1412636096;128;4800
"Process 12";"Process 10";458324;27.199;27199009000;0;0;1.92031;1920308000;66.656;6.6656e-08;inf;inf;1412636096;128;4800
"Process 12";"Process 1";458324;115.195;115195467000;1e-06;1000;1.53809;1538090000;321.798;3.21798e-07;2.4e+09;2.4;1412636096;128;4800
"Process 12";"Process 11";530684;24.513;24513001000;0;0;1.92215;1922155000;66.5919;6.65919e-08;inf;inf;666582656;128;51200
"Process 12";"Process 13";530684;134.469;134469269000;1e-06;1000;1.53809;1538090000;1092.76;1.09276e-06;5.12e+09;5.12;666582656;128;51200
"Process 12";"Process 14";458324;128.642;128641775000;0;0;1.53809;1538089000;368.703;3.68703e-07;inf;inf;1256717952;128;4096
"Process 12";"Process 15";458324;126.091;126091174000;0;0;1.53947;1539473000;222.731;2.22731e-07;inf;inf;1256717952;128;4096
"Process 12";"Process 9";458324;32.9805;32980531000;0;0;1.92023;1920227000;66.6588;6.66588e-08;inf;inf;1412636096;128;4800
"Process 12";"Process 7";458324;93.3538;93353824000;1e-06;1000;1.53809;1538089000;205.669;2.05669e-07;2.4e+09;2.4;1412636096;128;4800
"Process 12";"Process 8";458324;36.418;36418032000;0;0;1.53811;1538111000;578.317;5.78317e-07;inf;inf;1412636096;128;4800
"Process 12";"Process 2";458324;87.5876;87587602000;1e-06;1000;1.5381;1538101000;222.749;2.22749e-07;2.4e+09;2.4;1412636096;128;4800
"Process 12";"Process 3";458324;82.375;82375049000;1e-06;1000;1.5381;1538099000;1054.31;1.05431e-06;2.4e+09;2.4;1412636096;128;4800
"Process 12";"Process 4";458324;81.7608;81760805000;1e-06;1000;1.69284;1692838000;75.6127;7.56127e-08;2.4e+09;2.4;1412636096;128;4800
"Process 12";"Process 5";458324;79.2707;79270676000;1e-06;1000;1.53809;1538088000;335.171;3.35171e-07;2.4e+09;2.4;1412636096;128;4800
"Process 12";"Process 6";458324;75.4384;75438414000;1e-06;1000;1.53809;1538089000;270.92;2.7092e-07;2.4e+09;2.4;1412636096;128;4800
"Process 9";"Process 0";458324;147.592;147591946000;1e-06;1000;1.43989;1439894000;308.508;3.08508e-07;2.4e+09;2.4;1687422400;192;4800
"Process 9";"Process 10";530684;132.939;132939213000;1e-06;1000;1.91734;1917340000;635.795;6.35795e-07;5.12e+09;5.12;1097287104;192;51200
"Process 9";"Process 1";458324;83.9239;83923921000;1e-06;1000;1.43663;1436631000;413.634;4.13634e-07;2.4e+09;2.4;1687422400;192;4800
"Process 9";"Process 11";458324;124.273;124272924000;0;0;1.43959;1439594000;635.791;6.35791e-07;inf;inf;1531504256;128;4800
"Process 9";"Process 12";458324;122.901;122901138000;0;0;1.43954;1439544000;595.948;5.95948e-07;inf;inf;1531504256;128;4800
"Process 9";"Process 13";458324;122.918;122918128000;0;0;1.4408;1440802000;476.526;4.76526e-07;inf;inf;1531504256;128;4800
"Process 9";"Process 14";458324;120.181;120180629000;0;0;1.4395;1439500000;476.501;4.76501e-07;inf;inf;1531504256;128;4800
"Process 9";"Process 15";458324;117.199;117199402000;0;0;1.4395;1439499000;334.231;3.34231e-07;inf;inf;1531504256;128;4800
"Process 9";"Process 7";458324;58.205;58205030000;1e-06;1000;2.15004;2150038000;206.312;2.06312e-07;2.4e+09;2.4;1687422400;192;4800
"Process 9";"Process 8";530684;31.3708;31370816000;0;0;1.5113;1511297000;867.479;8.67479e-07;inf;inf;1097287104;192;51200
"Process 9";"Process 2";458324;73.8535;73853506000;1e-06;1000;1.25461;1254610000;365.435;3.65435e-07;2.4e+09;2.4;1687422400;192;4800
"Process 9";"Process 3";458324;67.5767;67576725000;1e-06;1000;1.25461;1254611000;203.935;2.03935e-07;2.4e+09;2.4;1687422400;192;4800
"Process 9";"Process 4";458324;67.3683;67368255000;1e-06;1000;1.69284;1692840000;113.419;1.13419e-07;2.4e+09;2.4;1687422400;192;4800
"Process 9";"Process 5";458324;62.7801;62780129000;1e-06;1000;1.25461;1254610000;664.746;6.64746e-07;2.4e+09;2.4;1687422400;192;4800
"Process 9";"Process 6";458324;57.5956;57595621000;1e-06;1000;1.25461;1254610000;664.737;6.64737e-07;2.4e+09;2.4;1687422400;192;4800
"Process 6";"Process 0";458324;110.77;110769976000;0;0;1.4416;1441600000;308.504;3.08504e-07;inf;inf;1687422400;192;4800
"Process 6";"Process 10";458324;103.171;103171050000;1e-06;1000;1.51248;1512485000;275.94;2.7594e-07;2.048e+09;2.048;1687422400;192;4800
"Process 6";"Process 1";458324;72.2041;72204127000;0;0;1.43834;1438344000;308.496;3.08496e-07;inf;inf;1687422400;192;4800
"Process 6";"Process 11";458324;99.5915;99591547000;1e-06;1000;1.47051;1470512000;275.933;2.75933e-07;2.048e+09;2.048;1531504256;128;4800
"Process 6";"Process 12";458324;96.9793;96979338000;1e-06;1000;1.4705;1470505000;221.223;2.21223e-07;2.048e+09;2.048;1531504256;128;4800
"Process 6";"Process 13";458324;89.8404;89840448000;1e-06;1000;1.69282;1692819000;113.42;1.1342e-07;2.4e+09;2.4;1531504256;128;4800
"Process 6";"Process 14";458324;85.6043;85604312000;1e-06;1000;1.44121;1441213000;221.231;2.21231e-07;2.4e+09;2.4;1531504256;128;4800
"Process 6";"Process 15";458324;98.9081;98908114000;1e-06;1000;1.44121;1441212000;246.804;2.46804e-07;2.4e+09;2.4;1531504256;128;4800
"Process 6";"Process 9";458324;105.267;105267182000;1e-06;1000;1.51237;1512368000;275.864;2.75864e-07;2.4e+09;2.4;1687422400;192;4800
"Process 6";"Process 7";530684;110.49;110490296000;1e-06;1000;1.51239;1512394000;1123.14;1.12314e-06;5.12e+09;5.12;1097287104;192;51200
"Process 6";"Process 8";458324;106.564;106563972000;1e-06;1000;1.51238;1512384000;357.864;3.57864e-07;2.048e+09;2.048;1687422400;192;4800
"Process 6";"Process 2";458324;37.0605;37060483000;0;0;0.716235;716235000;702.204;7.02204e-07;inf;inf;1687422400;192;4800
"Process 6";"Process 3";458324;35.2449;35244923000;0;0;1.02413;1024132000;823.614;8.23614e-07;inf;inf;1687422400;192;4800
"Process 6";"Process 4";458324;29.7954;29795411000;0;0;0.675828;675828000;757.486;7.57486e-07;inf;inf;1687422400;192;4800
"Process 6";"Process 5";530684;38.3348;38334823000;0;0;2.15006;2150056000;1624.79;1.62479e-06;inf;inf;1097287104;192;51200
"Process 3";"Process 0";458324;71.7005;71700488000;0;0;1.43029;1430287000;313.312;3.13312e-07;inf;inf;1687422400;192;4800
"Process 3";"Process 10";458324;81.027;81027013000;1e-06;1000;2.18203;2182035000;87.9913;8.79913e-08;2.4e+09;2.4;1687422400;192;4800
