Sender;Reciever;# Messages;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent
"Process 13";"Process 7";458324;87.5271;87527074000;1e-06;1000;1.53809;1538093000;205.669;2.05669e-07;2.4e+09;2.4;1412636096;128;4800
"Process 13";"Process 8";458324;59.5704;59570396000;0;0;1.53809;1538090000;205.668;2.05668e-07;inf;inf;1412636096;128;4800
"Process 13";"Process 2";458324;103.712;103712223000;1e-06;1000;1.53811;1538108000;178.13;1.7813e-07;2.4e+09;2.4;1412636096;128;4800
"Process 13";"Process 3";458324;85.7297;85729670000;1e-06;1000;1.5381;1538104000;178.13;1.7813e-07;2.4e+09;2.4;1412636096;128;4800
"Process 13";"Process 4";458324;81.0138;81013817000;1e-06;1000;2.18151;2181507000;58.675;5.8675e-08;2.048e+09;2.048;1412636096;128;4800
"Process 13";"Process 5";458324;77.1206;77120646000;1e-06;1000;1.53809;1538093000;435.582;4.35582e-07;2.048e+09;2.048;1412636096;128;4800
"Process 13";"Process 6";458324;69.1364;69136437000;1e-06;1000;1.53809;1538093000;270.881;2.70881e-07;2.4e+09;2.4;1412636096;128;4800
"Process 10";"Process 0";458324;154.002;154002226000;1e-06;1000;1.47085;1470851000;307.662;3.07662e-07;2.4e+09;2.4;1687422400;192;4800
"Process 10";"Process 1";458324;84.7414;84741404000;1e-06;1000;1.43845;1438452000;221.235;2.21235e-07;2.4e+09;2.4;1687422400;192;4800
"Process 10";"Process 11";530684;128.808;128808224000;1e-06;1000;1.71155;1711553000;741.321;7.41321e-07;5.12e+09;5.12;941368960;128;51200
"Process 10";"Process 12";458324;122.933;122932946000;0;0;1.71152;1711523000;595.953;5.95953e-07;inf;inf;1531504256;128;4800
"Process 10";"Process 13";458324;120.64;120640004000;0;0;1.44262;1442623000;741.258;7.41258e-07;inf;inf;1531504256;128;4800
"Process 10";"Process 14";458324;118.845;118844548000;0;0;1.44132;1441321000;553.191;5.53191e-07;inf;inf;1531504256;128;4800
"Process 10";"Process 15";458324;117.595;117594785000;0;0;1.44132;1441320000;334.116;3.34116e-07;inf;inf;1531504256;128;4800
"Process 10";"Process 9";530684;25.1714;25171431000;0;0;1.51235;1512354000;298.583;2.98583e-07;inf;inf;1097287104;192;51200
"Process 10";"Process 7";458324;58.812;58812006000;1e-06;1000;2.15001;2150015000;757.495;7.57495e-07;2.4e+09;2.4;1687422400;192;4800
"Process 10";"Process 8";458324;24.2294;24229402000;0;0;0.594253;594253000;758.207;7.58207e-07;inf;inf;1687422400;192;4800
"Process 10";"Process 2";458324;76.4997;76499748000;1e-06;1000;0.717179;717179000;344.304;3.44304e-07;2.048e+09;2.048;1687422400;192;4800
"Process 10";"Process 3";458324;68.7238;68723758000;1e-06;1000;0.941474;941474000;203.936;2.03936e-07;2.4e+09;2.4;1687422400;192;4800
"Process 10";"Process 4";458324;67.2947;67294716000;1e-06;1000;1.69284;1692840000;113.419;1.13419e-07;2.4e+09;2.4;1687422400;192;4800
"Process 10";"Process 5";458324;67.332;67331962000;1e-06;1000;1.69285;1692847000;113.418;1.13418e-07;2.4e+09;2.4;1687422400;192;4800
"Process 10";"Process 6";458324;57.0695;57069477000;1e-06;1000;0.941414;941414000;203.949;2.03949e-07;2.4e+09;2.4;1687422400;192;4800
"Process 7";"Process 0";458324;78.8618;78861783000;0;0;1.4416;1441596000;582.922;5.82922e-07;inf;inf;1687422400;192;4800
"Process 7";"Process 10";458324;93.4817;93481694000;1e-06;1000;1.47028;1470277000;275.862;2.75862e-07;2.4e+09;2.4;1687422400;192;4800
"Process 7";"Process 1";458324;42.5216;42521597000;0;0;1.43833;1438334000;556.749;5.56749e-07;inf;inf;1687422400;192;4800
"Process 7";"Process 11";458324;88.6751;88675118000;1e-06;1000;1.44129;1441294000;275.932;2.75932e-07;2.4e+09;2.4;1531504256;128;4800
"Process 7";"Process 12";458324;89.2822;89282225000;1e-06;1000;1.44124;1441244000;221.222;2.21222e-07;2.4e+09;2.4;1531504256;128;4800
"Process 7";"Process 13";458324;84.245;84244968000;1e-06;1000;1.69326;1693257000;113.391;1.13391e-07;2.4e+09;2.4;1531504256;128;4800
"Process 7";"Process 14";458324;75.5375;75537472000;1e-06;1000;1.4412;1441201000;479.138;4.79138e-07;2.4e+09;2.4;1531504256;128;4800
"Process 7";"Process 15";458324;74.3221;74322085000;1e-06;1000;1.4412;1441201000;653.359;6.53359e-07;2.4e+09;2.4;1531504256;128;4800
"Process 7";"Process 9";458324;94.4393;94439284000;1e-06;1000;1.47016;1470160000;275.862;2.75862e-07;2.048e+09;2.048;1687422400;192;4800
"Process 7";"Process 8";530684;98.0181;98018054000;2e-06;2000;1.47018;1470176000;357.857;3.57857e-07;2.84444e+09;2.84444;1097287104;192;51200
"Process 7";"Process 2";458324;32.0592;32059172000;0;0;0.779934;779934000;582.903;5.82903e-07;inf;inf;1687422400;192;4800
"Process 7";"Process 3";458324;29.222;29222032000;0;0;0.779934;779934000;562.349;5.62349e-07;inf;inf;1687422400;192;4800
"Process 7";"Process 4";458324;22.6395;22639493000;0;0;0.779934;779934000;562.303;5.62303e-07;inf;inf;1687422400;192;4800
"Process 7";"Process 5";458324;19.1835;19183547000;0;0;0.779941;779941000;487.42;4.8742e-07;inf;inf;1687422400;192;4800
"Process 7";"Process 6";530684;17.9663;17966306000;0;0;1.25445;1254449000;439.61;4.3961e-07;inf;inf;1097287104;192;51200
"Process 4";"Process 0";458324;96.7341;96734118000;0;0;1.44732;1447318000;329.343;3.29343e-07;inf;inf;1687422400;192;4800
"Process 4";"Process 10";458324;108.414;108413622000;1e-06;1000;1.53829;1538295000;919.417;9.19417e-07;2.4e+09;2.4;1687422400;192;4800
"Process 4";"Process 1";458324;55.4402;55440230000;0;0;1.44413;1444134000;817.421;8.17421e-07;inf;inf;1687422400;192;4800
"Process 4";"Process 11";458324;102.475;102474552000;1e-06;1000;1.44709;1447092000;344.313;3.44313e-07;2.048e+09;2.048;1531504256;128;4800
"Process 4";"Process 12";458324;103.521;103521152000;1e-06;1000;1.44704;1447045000;344.312;3.44312e-07;2.048e+09;2.048;1531504256;128;4800
"Process 4";"Process 13";458324;96.7401;96740107000;1e-06;1000;1.4483;1448304000;502.764;5.02764e-07;2.048e+09;2.048;1531504256;128;4800
"Process 4";"Process 14";458324;94.6704;94670425000;1e-06;1000;1.447;1447003000;413.617;4.13617e-07;2.4e+09;2.4;1531504256;128;4800
"Process 4";"Process 15";458324;112.447;112446809000;1e-06;1000;1.447;1447002000;246.804;2.46804e-07;2.4e+09;2.4;1531504256;128;4800
"Process 4";"Process 9";458324;115.49;115490403000;1e-06;1000;1.53819;1538186000;275.976;2.75976e-07;2.4e+09;2.4;1687422400;192;4800
"Process 4";"Process 7";458324;114.292;114292142000;0;0;1.95053;1950535000;521.451;5.21451e-07;inf;inf;1687422400;192;4800
"Process 4";"Process 8";458324;116.629;116629399000;1e-06;1000;1.78809;1788091000;221.237;2.21237e-07;2.048e+09;2.048;1687422400;192;4800
"Process 4";"Process 2";458324;43.123;43122981000;0;0;0.873239;873239000;487.415;4.87415e-07;inf;inf;1687422400;192;4800
"Process 4";"Process 3";530684;47.7592;47759224000;0;0;0.716953;716953000;2602.93;2.60293e-06;inf;inf;1097287104;192;51200
"Process 4";"Process 5";530684;129.443;129442825000;1e-06;1000;1.5382;1538204000;1261.5;1.2615e-06;5.12e+09;5.12;1097287104;192;51200
"Process 4";"Process 6";458324;114.942;114941826000;1e-06;1000;1.95054;1950544000;521.44;5.2144e-07;4.8e+09;4.8;1687422400;192;4800
"Process 1";"Process 0";530684;86.1056;86105630000;0;0;1.42591;1425910000;329.337;3.29337e-07;inf;inf;1097287104;192;51200
"Process 1";"Process 10";458324;83.7783;83778280000;1e-06;1000;1.48566;1485662000;365.444;3.65444e-07;2.048e+09;2.048;1687422400;192;4800
"Process 1";"Process 11";458324;72.6749;72674918000;1e-06;1000;1.189;1189002000;664.707;6.64707e-07;2.4e+09;2.4;1531504256;128;4800
"Process 1";"Process 12";458324;76.119;76119027000;1e-06;1000;1.69286;1692861000;113.417;1.13417e-07;2.4e+09;2.4;1531504256;128;4800
"Process 1";"Process 13";458324;68.4237;68423732000;1e-06;1000;1.92024;1920238000;99.9876;9.99876e-08;2.048e+09;2.048;1531504256;128;4800
"Process 1";"Process 14";458324;66.5882;66588185000;1e-06;1000;1.05955;1059546000;1854.83;1.85483e-06;2.048e+09;2.048;1531504256;128;4800
"Process 1";"Process 15";458324;61.2312;61231244000;1e-06;1000;1.05959;1059592000;2388.91;2.38891e-06;2.4e+09;2.4;1531504256;128;4800
"Process 1";"Process 9";458324;84.0321;84032095000;1e-06;1000;1.48557;1485572000;556.512;5.56512e-07;2.4e+09;2.4;1687422400;192;4800
"Process 1";"Process 7";458324;90.9278;90927837000;0;0;1.4856;1485603000;267.191;2.67191e-07;inf;inf;1687422400;192;4800
"Process 1";"Process 8";458324;86.2895;86289539000;1e-06;1000;1.4856;1485596000;894.167;8.94167e-07;2.4e+09;2.4;1687422400;192;4800
"Process 1";"Process 2";530684;100.772;100772356000;1e-06;1000;1.48559;1485595000;2182.19;2.18219e-06;5.12e+09;5.12;1097287104;192;51200
"Process 1";"Process 3";458324;95.89;95889953000;0;0;1.48559;1485595000;2042.64;2.04264e-06;inf;inf;1687422400;192;4800
"Process 1";"Process 4";458324;97.5352;97535203000;0;0;1.74204;1742042000;340.292;3.40292e-07;inf;inf;1687422400;192;4800
"Process 1";"Process 5";458324;96.9611;96961149000;0;0;1.4856;1485601000;267.192;2.67192e-07;inf;inf;1687422400;192;4800
"Process 1";"Process 6";458324;97.9626;97962643000;0;0;2.18209;2182095000;87.9888;8.79888e-08;inf;inf;1687422400;192;4800
