Process(Group);# Processes;Function(Group);Time Self [s];Time Self [tick];Time Total [s];Time Total [tick];# Calls;SCL
"Process 0";1;"Application";372.896;372896300000;444.318;444318331000;1;0
"Process 0";1;"MPI";71.422;71422031000;71.422;71422031000;44891534;0
"Process 5";1;"Application";378.146;378146061000;444.32;444319862000;1;0
"Process 5";1;"MPI";66.1738;66173801000;66.1738;66173801000;45398054;0
"Process 10";1;"Application";364.48;364480377000;444.319;444318937000;1;0
"Process 10";1;"MPI";79.8386;79838560000;79.8386;79838560000;45398054;0
"Process 15";1;"Application";347.061;347061399000;444.319;444319034000;1;0
"Process 15";1;"MPI";97.2576;97257635000;97.2576;97257635000;44891534;0
"Process 1";1;"Application";377.808;377808471000;444.32;444319552000;1;0
"Process 1";1;"MPI";66.5111;66511081000;66.5111;66511081000;45398054;0
"Process 6";1;"Application";378.64;378639543000;444.321;444320820000;1;0
"Process 6";1;"MPI";65.6813;65681277000;65.6813;65681277000;45398054;0
"Process 11";1;"Application";350.89;350889813000;444.321;444320714000;1;0
"Process 11";1;"MPI";93.4309;93430901000;93.4309;93430901000;45398054;0
"All_Processes";16;"Application";5862.25;5862249759000;7109.11;7109112388000;16;0
"All_Processes";16;"MPI";1246.86;1246862629000;1246.86;1246862629000;725355824;0
"Process 2";1;"Application";376.206;376205872000;444.319;444318797000;1;0
"Process 2";1;"MPI";68.1129;68112925000;68.1129;68112925000;45398054;0
"Process 7";1;"Application";378.615;378615021000;444.32;444319939000;1;0
"Process 7";1;"MPI";65.7049;65704918000;65.7049;65704918000;45398054;0
"Process 12";1;"Application";350.349;350348899000;444.32;444319765000;1;0
"Process 12";1;"MPI";93.9709;93970866000;93.9709;93970866000;45398054;0
"Process 3";1;"Application";375.87;375870028000;444.32;444320272000;1;0
"Process 3";1;"MPI";68.4502;68450244000;68.4502;68450244000;45398054;0
"Process 8";1;"Application";365.541;365541483000;444.319;444318828000;1;0
"Process 8";1;"MPI";78.7773;78777345000;78.7773;78777345000;45398054;0
"Process 13";1;"Application";350.823;350822979000;444.321;444320647000;1;0
"Process 13";1;"MPI";93.4977;93497668000;93.4977;93497668000;45398054;0
"Process 4";1;"Application";380.455;380455189000;444.319;444319031000;1;0
"Process 4";1;"MPI";63.8638;63863842000;63.8638;63863842000;45398054;0
"Process 9";1;"Application";365.429;365428584000;444.319;444318977000;1;0
"Process 9";1;"MPI";78.8904;78890393000;78.8904;78890393000;45398054;0
"Process 14";1;"Application";349.04;349039740000;444.319;444318882000;1;0
"Process 14";1;"MPI";95.2791;95279142000;95.2791;95279142000;45398054;0
