Operation;Process(Group);# collectives;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent;Bytes received (sum);Min. bytes received;Max. bytes received
"MPI_Bcast";"Process 2";5;0.009206;9206000;8e-06;8000;0.006742;6742000;593.296;5.93296e-07;3.84e+08;0.384;0;0;0;19224;4;13824
"MPI_Bcast";"Process 3";5;0.009231;9231000;1.1e-05;11000;0.006742;6742000;593.296;5.93296e-07;4.88727e+08;0.488727;0;0;0;19224;4;13824
"MPI_Bcast";"Process 4";5;0.916143;916143000;8e-06;8000;0.906951;906951000;4.41038;4.41038e-09;6.72e+08;0.672;0;0;0;19224;4;13824
"MPI_Bcast";"Process 5";5;0.23756;237560000;1.6e-05;16000;0.228267;228267000;17.5233;1.75233e-08;3.36e+08;0.336;0;0;0;19224;4;13824
"MPI_Bcast";"Process 6";5;0.01056;10560000;1.7e-05;17000;0.006731;6731000;594.265;5.94265e-07;3.16235e+08;0.316235;0;0;0;19224;4;13824
"MPI_Bcast";"Process 7";5;0.515134;515134000;8e-06;8000;0.505861;505861000;7.90731;7.90731e-09;6.72e+08;0.672;0;0;0;19224;4;13824
"MPI_Bcast";"Process 8";5;0.259144;259144000;1.2e-05;12000;0.249663;249663000;16.0216;1.60216e-08;4.48e+08;0.448;0;0;0;19224;4;13824
"MPI_Bcast";"Process 9";5;0.252978;252978000;1.4e-05;14000;0.24351;243510000;16.4264;1.64264e-08;3.84e+08;0.384;0;0;0;19224;4;13824
"MPI_Bcast";"Process 10";5;0.668088;668088000;1e-05;10000;0.658615;658615000;6.07335;6.07335e-09;5.376e+08;0.5376;0;0;0;19224;4;13824
"MPI_Bcast";"Process 11";5;0.246816;246816000;1.2e-05;12000;0.237378;237378000;16.8508;1.68508e-08;4.48e+08;0.448;0;0;0;19224;4;13824
"MPI_Bcast";"Process 12";5;0.252936;252936000;1.2e-05;12000;0.243531;243531000;16.425;1.6425e-08;4.48e+08;0.448;0;0;0;19224;4;13824
"MPI_Bcast";"Process 13";5;0.010258;10258000;1.2e-05;12000;0.006757;6757000;591.979;5.91979e-07;4.48e+08;0.448;0;0;0;19224;4;13824
"MPI_Bcast";"Process 14";5;0.246841;246841000;1.2e-05;12000;0.237308;237308000;16.8557;1.68557e-08;4.48e+08;0.448;0;0;0;19224;4;13824
"MPI_Bcast";"Process 15";5;0.668172;668172000;8e-06;8000;0.658764;658764000;6.07198;6.07198e-09;6.72e+08;0.672;0;0;0;19224;4;13824
