Operation;Process(Group);# collectives;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent;Bytes received (sum);Min. bytes received;Max. bytes received
"MPI_Bcast";"Process 3";5;0.093443;93443000;1e-05;10000;0.073129;73129000;54.6979;5.46979e-08;8.96e+08;0.896;0;0;0;45336;4;36352
"MPI_Bcast";"Process 4";5;1.24118;1241180000;9e-06;9000;1.22135;1221349000;3.27507;3.27507e-09;9.95556e+08;0.995556;0;0;0;45336;4;36352
"MPI_Bcast";"Process 5";5;1.44367;1443667000;8e-06;8000;1.42333;1423332000;2.81031;2.81031e-09;1.12e+09;1.12;0;0;0;45336;4;36352
"MPI_Bcast";"Process 6";5;0.618212;618212000;1.9e-05;19000;0.598938;598938000;6.67849;6.67849e-09;4.71579e+08;0.471579;0;0;0;45336;4;36352
"MPI_Bcast";"Process 7";5;0.019652;19652000;7e-06;7000;0.014822;14822000;269.869;2.69869e-07;1.28e+09;1.28;0;0;0;45336;4;36352
"MPI_Bcast";"Process 8";5;1.10535;1105352000;9e-06;9000;1.08507;1085067000;3.68641;3.68641e-09;9.95556e+08;0.995556;0;0;0;45336;4;36352
"MPI_Bcast";"Process 9";5;0.211496;211496000;1.3e-05;13000;0.19156;191560000;20.8812;2.08812e-08;6.89231e+08;0.689231;0;0;0;45336;4;36352
"MPI_Bcast";"Process 10";5;1.0916;1091600000;1.1e-05;11000;1.07198;1071979000;3.73142;3.73142e-09;8.14545e+08;0.814545;0;0;0;45336;4;36352
"MPI_Bcast";"Process 11";5;0.478701;478701000;7e-06;7000;0.458275;458275000;8.72838;8.72838e-09;1.28e+09;1.28;0;0;0;45336;4;36352
"MPI_Bcast";"Process 12";5;0.088557;88557000;1.8e-05;18000;0.068453;68453000;58.4343;5.84343e-08;4.97778e+08;0.497778;0;0;0;45336;4;36352
"MPI_Bcast";"Process 13";5;1.49826;1498262000;1.2e-05;12000;1.47857;1478573000;2.70531;2.70531e-09;7.46667e+08;0.746667;0;0;0;45336;4;36352
"MPI_Bcast";"Process 14";5;0.927812;927812000;1e-05;10000;0.907343;907343000;4.40848;4.40848e-09;8.96e+08;0.896;0;0;0;45336;4;36352
"MPI_Bcast";"Process 15";5;0.747151;747151000;1e-05;10000;0.726675;726675000;5.50452;5.50452e-09;8.96e+08;0.896;0;0;0;45336;4;36352
