Sender;Reciever;# Messages;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent
"Process 10";"Process 5";99404;8.70844;8708441000;1e-06;1000;1.063;1063001000;3853.24;3.85324e-06;2.4e+09;2.4;373151680;192;4800
"Process 10";"Process 6";99404;8.73076;8730763000;1e-06;1000;1.06304;1063040000;661.535;6.61535e-07;2.4e+09;2.4;373151680;192;4800
"Process 7";"Process 0";99448;13.1338;13133804000;0;0;0.747304;747304000;326.419;3.26419e-07;inf;inf;375750080;192;102400
"Process 7";"Process 10";99404;16.0267;16026682000;1e-06;1000;0.747264;747264000;3709;3.709e-06;2.048e+09;2.048;373151680;192;4800
"Process 7";"Process 11";99404;17.7591;17759094000;1e-06;1000;0.747265;747265000;536.599;5.36599e-07;2.4e+09;2.4;345220736;128;4800
"Process 7";"Process 1";99404;6.73185;6731848000;0;0;0.747267;747267000;5481.31;5.48131e-06;inf;inf;373151680;192;4800
"Process 7";"Process 12";99404;19.7713;19771262000;1e-06;1000;0.756254;756254000;536.596;5.36596e-07;2.048e+09;2.048;345220736;128;4800
"Process 7";"Process 13";99404;14.1288;14128764000;1e-06;1000;0.747277;747277000;5481.23;5.48123e-06;2.048e+09;2.048;345220736;128;4800
"Process 7";"Process 14";99404;15.2414;15241367000;1e-06;1000;0.747276;747276000;1574.21;1.57421e-06;2.4e+09;2.4;345220736;128;4800
"Process 7";"Process 15";99404;13.32;13320009000;1e-06;1000;0.747313;747313000;1525.98;1.52598e-06;2.4e+09;2.4;345220736;128;4800
"Process 7";"Process 9";99404;18.6688;18668845000;1e-06;1000;1.13253;1132530000;536.602;5.36602e-07;2.048e+09;2.048;373151680;192;4800
"Process 7";"Process 8";112364;21.6543;21654302000;2e-06;2000;1.13254;1132544000;3616.64;3.61664e-06;2.84444e+09;2.84444;1036703680;192;51200
"Process 7";"Process 2";99404;6.25636;6256359000;0;0;0.747302;747302000;5481.05;5.48105e-06;inf;inf;373151680;192;4800
"Process 7";"Process 3";99404;5.65849;5658487000;0;0;0.632698;632698000;6473.86;6.47386e-06;inf;inf;373151680;192;4800
"Process 7";"Process 4";99404;6.51438;6514379000;0;0;1.13255;1132555000;3616.6;3.6166e-06;inf;inf;373151680;192;4800
"Process 7";"Process 5";99404;4.43603;4436034000;0;0;0.517255;517255000;968.396;9.68396e-07;inf;inf;373151680;192;4800
"Process 7";"Process 6";112364;4.51027;4510270000;0;0;0.624044;624044000;6563.64;6.56364e-06;inf;inf;1036703680;192;51200
"Process 4";"Process 0";99448;14.233;14233042000;0;0;0.747265;747265000;326.407;3.26407e-07;inf;inf;375750080;192;102400
"Process 4";"Process 10";99404;13.5309;13530930000;1e-06;1000;0.747256;747256000;2947.23;2.94723e-06;2.4e+09;2.4;373151680;192;4800
"Process 4";"Process 11";99404;16.0949;16094916000;1e-06;1000;0.747257;747257000;545.889;5.45889e-07;2.048e+09;2.048;345220736;128;4800
"Process 4";"Process 1";99404;7.31083;7310827000;0;0;0.747263;747263000;326.398;3.26398e-07;inf;inf;373151680;192;4800
"Process 4";"Process 12";99404;17.3974;17397365000;1e-06;1000;0.756244;756244000;545.909;5.45909e-07;2.048e+09;2.048;345220736;128;4800
"Process 4";"Process 13";99404;15.0753;15075318000;1e-06;1000;0.747266;747266000;546.001;5.46001e-07;2.4e+09;2.4;345220736;128;4800
"Process 4";"Process 14";99404;15.3046;15304638000;1e-06;1000;0.747266;747266000;598.497;5.98497e-07;2.4e+09;2.4;345220736;128;4800
