Sender;Reciever;# Messages;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent
"Process 6";"Process 2";99404;6.4516;6451597000;0;0;0.747296;747296000;544.585;5.44585e-07;inf;inf;373151680;192;4800
"Process 6";"Process 3";99404;5.79464;5794638000;0;0;0.632788;632788000;6472.94;6.47294e-06;inf;inf;373151680;192;4800
"Process 6";"Process 4";99404;6.73502;6735025000;0;0;1.1364;1136403000;3604.36;3.60436e-06;inf;inf;373151680;192;4800
"Process 6";"Process 5";112364;4.09068;4090682000;0;0;0.514914;514914000;7954.73;7.95473e-06;inf;inf;1036703680;192;51200
"Process 3";"Process 0";99448;15.0798;15079834000;0;0;0.747239;747239000;326.408;3.26408e-07;inf;inf;375750080;192;102400
"Process 3";"Process 10";99404;13.1843;13184308000;1e-06;1000;0.747229;747229000;5481.59;5.48159e-06;2.4e+09;2.4;373151680;192;4800
"Process 3";"Process 11";99404;16.2358;16235836000;1e-06;1000;0.747228;747228000;545.889;5.45889e-07;2.4e+09;2.4;345220736;128;4800
"Process 3";"Process 1";99404;6.11203;6112033000;0;0;0.747235;747235000;5481.54;5.48154e-06;inf;inf;373151680;192;4800
"Process 3";"Process 12";99404;16.3243;16324273000;1e-06;1000;0.756216;756216000;695.745;6.95745e-07;2.4e+09;2.4;345220736;128;4800
"Process 3";"Process 13";99404;15.3113;15311290000;1e-06;1000;0.747238;747238000;1044.52;1.04452e-06;2.4e+09;2.4;345220736;128;4800
"Process 3";"Process 14";99404;13.8809;13880927000;1e-06;1000;0.747238;747238000;5481.52;5.48152e-06;2.4e+09;2.4;345220736;128;4800
"Process 3";"Process 15";99404;12.6236;12623554000;1e-06;1000;0.747244;747244000;534.371;5.34371e-07;2.4e+09;2.4;345220736;128;4800
"Process 3";"Process 9";99404;15.8409;15840878000;1e-06;1000;1.06106;1061059000;3860.29;3.86029e-06;2.4e+09;2.4;373151680;192;4800
"Process 3";"Process 7";99404;17.2533;17253296000;0;0;1.06109;1061088000;3860.19;3.86019e-06;inf;inf;373151680;192;4800
"Process 3";"Process 8";99404;19.2736;19273553000;1e-06;1000;1.06113;1061131000;1527.01;1.52701e-06;2.4e+09;2.4;373151680;192;4800
"Process 3";"Process 2";112364;5.62639;5626392000;0;0;0.747269;747269000;5481.29;5.48129e-06;inf;inf;1036703680;192;51200
"Process 3";"Process 4";112364;20.3406;20340561000;1e-06;1000;1.07962;1079617000;3793.94;3.79394e-06;5.12e+09;5.12;1036703680;192;51200
"Process 3";"Process 5";99404;18.5002;18500237000;0;0;1.06516;1065159000;3845.44;3.84544e-06;inf;inf;373151680;192;4800
"Process 3";"Process 6";99404;18.169;18168980000;0;0;1.0652;1065202000;3845.28;3.84528e-06;inf;inf;373151680;192;4800
"Process 0";"Process 10";99404;8.80008;8800083000;1e-06;1000;0.738388;738388000;5547.22;5.54722e-06;2.4e+09;2.4;373151680;192;4800
"Process 0";"Process 11";99404;10.3448;10344822000;1e-06;1000;0.73839;738390000;5547.2;5.5472e-06;2.4e+09;2.4;345220736;128;4800
"Process 0";"Process 1";112364;14.6059;14605947000;1e-06;1000;0.812403;812403000;5041.83;5.04183e-06;5.12e+09;5.12;1036703680;192;51200
"Process 0";"Process 12";99404;11.0908;11090803000;1e-06;1000;0.738421;738421000;544.825;5.44825e-07;2.4e+09;2.4;345220736;128;4800
"Process 0";"Process 13";99404;8.25445;8254452000;1e-06;1000;0.352399;352399000;544.837;5.44837e-07;2.4e+09;2.4;345220736;128;4800
"Process 0";"Process 14";99404;8.30996;8309964000;1e-06;1000;0.439882;439882000;3657.77;3.65777e-06;2.4e+09;2.4;345220736;128;4800
"Process 0";"Process 15";99404;7.59282;7592824000;1e-06;1000;0.643579;643579000;7260.35;7.26035e-06;2.4e+09;2.4;345220736;128;4800
"Process 0";"Process 9";99404;11.5654;11565449000;1e-06;1000;0.808327;808327000;5067.26;5.06726e-06;2.4e+09;2.4;373151680;192;4800
"Process 0";"Process 7";99404;13.4966;13496587000;0;0;0.808355;808355000;5067.08;5.06708e-06;inf;inf;373151680;192;4800
"Process 0";"Process 8";99404;14.2761;14276116000;1e-06;1000;0.808398;808398000;1548.22;1.54822e-06;2.4e+09;2.4;373151680;192;4800
"Process 0";"Process 2";99404;14.3973;14397280000;0;0;0.812415;812415000;5041.76;5.04176e-06;inf;inf;373151680;192;4800
"Process 0";"Process 3";99404;13.9182;13918181000;0;0;0.812412;812412000;5041.78;5.04178e-06;inf;inf;373151680;192;4800
"Process 0";"Process 4";99404;15.1489;15148882000;0;0;1.06104;1061045000;3860.35;3.86035e-06;inf;inf;373151680;192;4800
"Process 0";"Process 5";99404;14.2159;14215877000;0;0;0.812424;812424000;2949.22;2.94922e-06;inf;inf;373151680;192;4800
"Process 0";"Process 6";99404;13.9172;13917169000;0;0;0.812464;812464000;2950.12;2.95012e-06;inf;inf;373151680;192;4800
"Process 8";"Process 0";99448;17.2891;17289104000;1e-06;1000;0.747316;747316000;545.945;5.45945e-07;2.4e+09;2.4;375750080;192;102400
"Process 8";"Process 10";99404;11.3021;11302142000;0;0;0.747277;747277000;3708.85;3.70885e-06;inf;inf;373151680;192;4800
"Process 8";"Process 11";99404;12.8656;12865633000;0;0;0.747279;747279000;536.61;5.3661e-07;inf;inf;345220736;128;4800
"Process 8";"Process 1";99404;4.94761;4947606000;1e-06;1000;0.747277;747277000;5481.23;5.48123e-06;2.4e+09;2.4;373151680;192;4800
"Process 8";"Process 12";99404;15.3592;15359245000;0;0;0.756278;756278000;536.605;5.36605e-07;inf;inf;345220736;128;4800
"Process 8";"Process 13";99404;11.7395;11739529000;0;0;0.747288;747288000;536.602;5.36602e-07;inf;inf;345220736;128;4800
"Process 8";"Process 14";99404;13.5895;13589485000;0;0;0.747287;747287000;536.623;5.36623e-07;inf;inf;345220736;128;4800
"Process 8";"Process 15";99404;8.99871;8998710000;0;0;0.747325;747325000;5480.88;5.48088e-06;inf;inf;345220736;128;4800
"Process 8";"Process 9";112364;14.9749;14974878000;1e-06;1000;1.13354;1133545000;536.628;5.36628e-07;5.12e+09;5.12;1036703680;192;51200
"Process 8";"Process 7";112364;4.62604;4626044000;1e-06;1000;0.747157;747157000;825.881;8.25881e-07;3.01176e+09;3.01176;1036703680;192;51200
"Process 8";"Process 2";99404;4.4177;4417699000;1e-06;1000;0.747313;747313000;5480.97;5.48097e-06;2.4e+09;2.4;373151680;192;4800
"Process 8";"Process 3";99404;4.46566;4465663000;1e-06;1000;0.397384;397384000;7995.34;7.99534e-06;2.4e+09;2.4;373151680;192;4800
"Process 8";"Process 4";99404;5.05372;5053716000;1e-06;1000;1.13357;1133569000;3613.37;3.61337e-06;2.4e+09;2.4;373151680;192;4800
"Process 8";"Process 5";99404;4.38133;4381331000;1e-06;1000;0.58823;588230000;326.403;3.26403e-07;2.4e+09;2.4;373151680;192;4800
"Process 8";"Process 6";99404;3.47824;3478244000;1e-06;1000;0.527261;527261000;971.1;9.711e-07;2.4e+09;2.4;373151680;192;4800
"Process 14";"Process 0";99448;23.7901;23790054000;1e-06;1000;1.06475;1064749000;198.307;1.98307e-07;2.4e+09;2.4;326418368;128;102400
"Process 14";"Process 10";99404;7.65316;7653156000;0;0;0.738392;738392000;217.608;2.17608e-07;inf;inf;323926976;128;4800
"Process 14";"Process 11";99404;7.5715;7571498000;0;0;0.738392;738392000;217.605;2.17605e-07;inf;inf;295996032;128;4096
"Process 14";"Process 1";99404;16.5384;16538393000;1e-06;1000;1.06474;1064744000;1494.84;1.49484e-06;2.048e+09;2.048;323926976;128;4800
"Process 14";"Process 12";99404;7.30351;7303508000;0;0;0.738424;738424000;421.342;4.21342e-07;inf;inf;295996032;128;4096
"Process 14";"Process 13";112364;4.40833;4408334000;0;0;0.543808;543808000;4840.42;4.84042e-06;inf;inf;959548032;128;51200
"Process 14";"Process 15";112364;15.5993;15599267000;1e-06;1000;1.06476;1064756000;3846.89;3.84689e-06;5.12e+09;5.12;959548032;128;51200
"Process 14";"Process 9";99404;11.4451;11445110000;0;0;1.06068;1060676000;966.909;9.66909e-07;inf;inf;323926976;128;4800
"Process 14";"Process 7";99404;12.6814;12681427000;1e-06;1000;1.06071;1060711000;350.291;3.50291e-07;2.4e+09;2.4;323926976;128;4800
"Process 14";"Process 8";99404;13.381;13380987000;0;0;1.06075;1060753000;1017.36;1.01736e-06;inf;inf;323926976;128;4800
"Process 14";"Process 2";99404;15.4794;15479385000;1e-06;1000;1.06476;1064756000;208.51;2.0851e-07;1.6e+09;1.6;323926976;128;4800
"Process 14";"Process 3";99404;14.9412;14941173000;1e-06;1000;1.06476;1064759000;208.514;2.08514e-07;2.048e+09;2.048;323926976;128;4800
"Process 14";"Process 4";99404;12.5;12500047000;1e-06;1000;1.07957;1079572000;661.089;6.61089e-07;2.048e+09;2.048;323926976;128;4800
"Process 14";"Process 5";99404;12.3857;12385741000;1e-06;1000;1.06476;1064760000;363.901;3.63901e-07;2.048e+09;2.048;323926976;128;4800
"Process 14";"Process 6";99404;13.3753;13375318000;1e-06;1000;1.0648;1064799000;363.944;3.63944e-07;2.4e+09;2.4;323926976;128;4800
"Process 11";"Process 0";99448;24.134;24134016000;1e-06;1000;1.06475;1064746000;208.512;2.08512e-07;2.4e+09;2.4;326418368;128;102400
