Cores,Resolution,Epoch,Time
16,T42,1,463.15567445755005
16,T42,2,459.7901859283447
16,T42,3,474.86019563674927
16,T42,4,543.4475429058075
16,T42,5,458.0082757472992
16,T42,6,506.5781674385071
16,T42,7,447.9806213378906
16,T42,8,456.0088129043579
16,T42,9,459.0358455181122
16,T42,10,527.5429165363312
16,T42,11,459.1685268878937
16,T42,12,445.01644921302795
16,T42,13,455.83833384513855
16,T42,14,449.73524951934814
16,T42,15,533.4993951320648
16,T42,16,504.4828701019287
16,T42,17,529.9681975841522
16,T42,18,891.2703487873077
16,T42,19,451.88301944732666
16,T42,20,494.7062895298004
16,T42,21,612.6996059417725
16,T42,22,478.0584852695465
16,T42,Total,11102.785093545914
