Cores,Resolution,Epoch,Time
16,T42,1,302.66792488098145
16,T42,2,300.634560585022
16,T42,3,301.67790508270264
16,T42,4,303.0529944896698
16,T42,5,302.0598282814026
16,T42,6,302.2634801864624
16,T42,7,302.2569742202759
16,T42,8,301.95533323287964
16,T42,9,302.2861204147339
16,T42,10,300.07472348213196
16,T42,11,299.4540054798126
16,T42,12,300.1949231624603
16,T42,13,299.1992506980896
16,T42,14,299.62608575820923
16,T42,15,299.4710509777069
16,T42,16,299.7273979187012
16,T42,17,299.3839774131775
16,T42,18,300.24787735939026
16,T42,19,301.1433458328247
16,T42,20,301.6731381416321
16,T42,21,299.49070835113525
16,T42,22,298.8104236125946
16,T42,Total,6617.396931171417
